location,timestamp,is_alert,alert_minutes,day_of_week,hour
Kyiv_City,2026-05-24 21:00:00+03:00,0,0.0,Sunday,21
Kyiv_City,2026-05-24 22:00:00+03:00,0,0.0,Sunday,22
Kyiv_City,2026-05-24 23:00:00+03:00,0,0.0,Sunday,23
Kyiv_City,2026-05-25 00:00:00+03:00,0,0.0,Monday,0
Kyiv_City,2026-05-25 01:00:00+03:00,0,0.0,Monday,1
Kyiv_City,2026-05-25 02:00:00+03:00,0,0.0,Monday,2
Kyiv_City,2026-05-25 03:00:00+03:00,0,0.0,Monday,3
Kyiv_City,2026-05-25 04:00:00+03:00,0,0.0,Monday,4
Kyiv_City,2026-05-25 05:00:00+03:00,0,0.0,Monday,5
Kyiv_City,2026-05-25 06:00:00+03:00,0,0.0,Monday,6
Kyiv_City,2026-05-25 07:00:00+03:00,0,0.0,Monday,7
Kyiv_City,2026-05-25 08:00:00+03:00,0,0.0,Monday,8
Kyiv_City,2026-05-25 09:00:00+03:00,0,0.0,Monday,9
Kyiv_City,2026-05-25 10:00:00+03:00,1,9.15,Monday,10
Kyiv_City,2026-05-25 11:00:00+03:00,1,7.466666666666667,Monday,11
Kyiv_City,2026-05-25 12:00:00+03:00,0,0.0,Monday,12
Kyiv_City,2026-05-25 13:00:00+03:00,0,0.0,Monday,13
Kyiv_City,2026-05-25 14:00:00+03:00,0,0.0,Monday,14
Kyiv_City,2026-05-25 15:00:00+03:00,0,0.0,Monday,15
Kyiv_City,2026-05-25 16:00:00+03:00,0,0.0,Monday,16
Kyiv_City,2026-05-25 17:00:00+03:00,0,0.0,Monday,17
Kyiv_City,2026-05-25 18:00:00+03:00,0,0.0,Monday,18
Kyiv_City,2026-05-25 19:00:00+03:00,0,0.0,Monday,19
Kyiv_City,2026-05-25 20:00:00+03:00,0,0.0,Monday,20
Kyiv_City,2026-05-25 21:00:00+03:00,0,0.0,Monday,21
Kyiv_City,2026-05-25 22:00:00+03:00,0,0.0,Monday,22
Kyiv_City,2026-05-25 23:00:00+03:00,0,0.0,Monday,23
